p,e_avg,e_sd,t_avg,t_sd
0.10,26114,238.4691,0.8642,0.028
0.15,40258,155.908,0.8816,0.030
0.20,55029,79.15365,0.8806,0.022
0.25,70757,263.5124,0.8382,0.007
0.30,87513,314.0852,0.8522,0.010
0.35,105660,481.9154,0.8492,0.008
0.40,124441,627.1174,0.87,0.025
0.45,145078,424.6189,0.8628,0.026
0.50,167302,632.4277,0.8768,0.021
0.55,191907,387.4593,0.8694,0.010
0.60,218873,390.531,0.8532,0.012
0.65,249055,209.1291,0.8524,0.006
0.70,283447,410.4293,0.8688,0.024
0.75,323792,563.9827,0.8664,0.019
0.80,371154,328.2182,0.877,0.035
0.85,432645,719.3613,0.8758,0.022
0.90,514349,633.2259,0.886,0.023
