d,e_avg,e_sd,t_avg,t_sd
0.10,514234,661.7622,0.9024,0.039
0.15,730637,351.6002,0.9222,0.036
0.20,922316,613.9393,0.9852,0.043
0.25,1094772,1019.377,0.9726,0.047
0.30,1246795,1766.428,1.0492,0.056
0.35,1383086,1158.284,1.0678,0.043
0.40,1505495,1215.616,1.033,0.058
0.45,1612699,381.3157,1.027,0.030
0.50,1708986,783.3407,0.855,0.010
0.55,1794275,858.9769,1.0506,0.030
0.60,1871933,1088.101,1.06,0.045
0.65,1939658,1119.342,1.0604,0.024
0.70,1999904,1114.694,1.0588,0.010
0.75,2056051,789.1527,1.0588,0.018
0.80,2103513,1650.41,1.081,0.022
0.85,2147494,1606.823,1.0742,0.013
0.90,2185035,879.8433,1.0758,0.008
