v,t_avg,t_sd
0,0.3116667,0.007
2,0.1556667,0.006
4,0.081,0.004
6,0.059,0.009
8,0.05,0.006
10,0.03766667,0.005
12,0.03266667,0.005
14,0.03033333,0.005
16,0.02866667,0.002
18,0.02433333,0.002
20,0.021,0.000
22,0.01966667,0.001
24,0.02,0.002
26,0.01966667,0.003
28,0.01866667,0.003
30,0.016,0.000
32,0.01666667,0.002
34,0.015,0.000
36,0.017,0.003
38,0.016,0.003
40,0.01366667,0.001
42,0.013,0.000
44,0.01433333,0.002
46,0.01433333,0.002
48,0.01466667,0.004
50,0.012,0.000
52,0.014,0.003
54,0.01366667,0.003
56,0.01166667,0.001
58,0.013,0.003
60,0.011,0.000
62,0.01233333,0.002
64,0.012,0.001
66,0.01166667,0.001
68,0.01233333,0.002
70,0.011,0.000
72,0.012,0.002
74,0.01033333,0.001
76,0.01066667,0.001
78,0.01166667,0.003
80,0.01,0.000
82,0.01033333,0.001
84,0.01133333,0.002
86,0.01133333,0.002
88,0.01,0.000
90,0.01033333,0.001
92,0.011,0.002
94,0.01033333,0.001
96,0.009666667,0.001
98,0.01066667,0.002
100,0.009666667,0.001
102,0.009666667,0.001
104,0.009666667,0.001
106,0.009,0.000
108,0.01033333,0.002
110,0.009,0.000
112,0.009333333,0.001
114,0.009,0.000
116,0.009,0.000
118,0.009666667,0.001
120,0.009333333,0.001
122,0.01,0.002
124,0.01266667,0.006
126,0.01,0.002
128,0.009333333,0.001
130,0.009666667,0.001
132,0.009666667,0.001
134,0.01,0.002
136,0.01166667,0.003
138,0.009333333,0.001
140,0.008333333,0.001
142,0.009,0.000
144,0.009,0.000
146,0.009,0.002
148,0.009333333,0.002
150,0.009666667,0.002
152,0.01033333,0.003
154,0.008333333,0.001
156,0.009333333,0.002
158,0.01033333,0.002
160,0.008666667,0.001
