c,t_avg,t_sd
0,166.5897,6.063
2,87.28,0.839
4,42.497,0.751
6,30.811,1.055
8,22.24367,0.431
10,18.046,0.044
12,16.00033,0.483
14,14.24267,0.211
16,12.63433,0.470
18,11.21867,0.033
20,10.59833,0.300
22,9.707,0.025
24,9.131667,0.037
26,8.591667,0.022
28,8.289,0.222
30,7.837333,0.021
32,7.553,0.051
34,7.285333,0.113
36,6.963333,0.019
38,6.703,0.005
40,6.525333,0.035
42,6.467,0.156
44,6.346333,0.105
46,6.154667,0.049
48,5.966333,0.064
50,5.927,0.041
52,5.899,0.091
54,5.692333,0.115
56,5.518333,0.031
58,5.547333,0.117
60,5.313333,0.043
62,5.238667,0.057
64,5.227667,0.044
66,5.113667,0.014
68,5.086667,0.086
70,5.011667,0.071
72,4.962667,0.121
74,4.926333,0.101
76,4.938667,0.047
78,4.860667,0.050
80,4.716667,0.031
82,4.708333,0.130
84,4.73,0.087
86,4.577,0.024
88,4.575667,0.095
90,4.474,0.009
92,4.501667,0.080
94,4.495,0.031
96,4.399,0.005
98,4.400667,0.090
100,4.318667,0.092
102,4.269333,0.046
104,4.200667,0.016
106,4.312,0.075
108,4.209333,0.048
110,4.155333,0.021
112,4.149667,0.009
114,4.205667,0.092
116,4.069667,0.016
118,4.009333,0.017
120,4.092667,0.116
122,4.036667,0.006
124,4.072667,0.115
126,3.98,0.014
128,3.997667,0.018
130,3.975667,0.019
132,4.038,0.058
134,3.963,0.021
136,3.879,0.039
138,3.883333,0.011
140,3.904,0.087
142,3.855333,0.026
144,3.825667,0.021
146,3.836,0.036
148,3.854333,0.086
150,3.824,0.010
152,3.863,0.122
154,3.800333,0.020
156,3.809667,0.057
158,3.835667,0.070
160,3.813667,0.025
